symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
DSE,EDGE_TREND,2025-01-02,2025-01-03,2025-01-07,23.563539999999996,22.03794,848700,19998376.398,-1352182.2957539968,-0.06754705669130227,2,EDGE_STOP_LOSS,2.9417,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,75.5354,3.0,2.9417,"{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=75.5354"
LPB,EDGE_TREND,2025-01-02,2025-01-03,2025-01-13,29.189159999999998,28.101869999999998,685100,19997493.516,-803405.0547899976,-0.0401351525227648,6,EDGE_ATR_STOP,2.8417,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,92.0106,4.0,2.8417,"{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=92.0106"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=100.0"
KDH,EDGE_TREND,2025-01-02,2025-01-03,2025-02-13,31.781749999999995,30.84912,629200,19997077.099999998,-645628.4057079963,-0.03225388485828815,24,EDGE_ATR_STOP,2.975,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,85.4169,2.0,2.975,"{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=85.4169"
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,372500,21082211.149999995,1491663.2646500096,0.07068390886306306,8,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=68.9144"
ACB,EDGE_REVERSAL,2025-01-23,2025-01-24,2025-03-12,21.081059999999997,21.95802,914100,19270196.946,742215.2868900038,0.03847774961276865,28,EDGE_MAX_HOLD,2.9667,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,96.0992,1.0,2.9667,"{'stop_loss': 0.07, 'take_profit': 0.2, 'max_holding_bars': 28, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=96.0992"
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1666700,19269635.384999998,751235.9744190052,0.03894653292268691,29,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=84.2398"
VIB,EDGE_COMPRESSION,2025-02-13,2025-02-14,2025-03-24,16.55654,16.243740000000003,1221200,20218846.648,-441883.9172239937,-0.02183321741514425,26,EDGE_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,77.7397,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=77.7397"
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,813300,21394897.523999996,955382.6153700054,0.04461008453591239,23,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=91.7683"
HCM,EDGE_TREND,2025-03-12,2025-03-13,2025-03-28,24.93491,23.646330000000003,830300,20703455.773,-1129878.5253709927,-0.054519872815988246,11,EDGE_ATR_STOP,3.5818,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,66.0257,1.0,3.5818,"{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=66.0257"
SSB,EDGE_COMPRESSION,2025-03-13,2025-03-14,2025-04-03,19.819799999999997,19.4805,1027300,20360880.539999995,-408948.40583999455,-0.020064940962225233,14,EDGE_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,77.1832,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=77.1832"
GEX,EDGE_BREAKOUT,2025-05-05,2025-05-06,2025-05-29,18.63862,24.21576,1369100,25518134.642,7543836.645326,0.2953311615723318,17,EDGE_TAKE_PROFIT,3.325,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,100.0,1.0,3.325,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=100.0"
KDC,EDGE_TREND,2025-05-05,2025-05-06,2025-06-05,55.52546999999999,53.07687,459600,25519506.011999995,-1199684.3249159902,-0.04696352031709985,22,EDGE_ATR_STOP,4.5,"breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1",True,85.029,1.0,4.5,"{'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,leader_trend_continuation_smt_v1,compression_breakout_smt_v1,spring_reclaim_smt_v1 | edge_score=85.029"
