symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
DBC,EDGE_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,24.704679999999996,23.306669999999997,809500,19998438.459999997,-1189421.032189995,-0.059416279014346846,2,EDGE_ATR_STOP,22.3571,mean_reversion_uptrend_ma50_v1,True,64.209,2.0,22.3571,"{'portfolio_priority': 20, 'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=64.209"
TPB,EDGE_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-13,14.67466,14.02596,1362800,19998626.648,-942276.1432239972,-0.047069972602829795,6,EDGE_ATR_STOP,22.6286,mean_reversion_uptrend_ma50_v1,True,52.9701,1.0,22.6286,"{'portfolio_priority': 20, 'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=52.9701"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,33.725,breakout_after_accumulation_v3,True,100.0,1.0,33.725,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
VGC,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-03-04,44.82478,49.69026,446100,19996334.358,2106160.643670004,0.10522211468429184,37,EDGE_TRAILING_ATR_STOP,32.425,breakout_after_accumulation_v3,True,100.0,2.0,32.425,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
PLX,EDGE_BREAKOUT,2025-03-04,2025-03-05,2025-03-07,43.10306,42.14781,501000,21594633.06,-542406.9886799976,-0.025092583052969054,2,EDGE_ATR_STOP,33.6,breakout_after_accumulation_v3,True,100.0,1.0,33.6,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
STB,EDGE_BREAKOUT,2025-03-07,2025-03-10,2025-03-14,40.03999999999999,38.761199999999995,532500,21321299.999999996,-743562.9779999964,-0.03483934646771794,4,EDGE_ATR_STOP,33.5,breakout_after_accumulation_v3,True,97.3565,1.0,33.5,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=97.3565"
MBB,EDGE_BREAKOUT,2025-01-23,2025-01-24,2025-03-18,16.55654,18.2817,1164400,19278435.176,1946923.4458640069,0.10088881434826942,32,EDGE_TRAILING_ATR_STOP,32.87,breakout_after_accumulation_v3,True,100.0,1.0,32.87,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
VIB,EDGE_BREAKOUT,2025-01-23,2025-01-24,2025-03-24,16.43642,16.243740000000003,1172900,19278277.018,-283377.21430999786,-0.014684617298811764,36,EDGE_ATR_STOP,32.78,breakout_after_accumulation_v3,True,99.3939,2.0,32.78,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=99.3939"
DXG,EDGE_BREAKOUT,2025-03-17,2025-03-18,2025-03-24,14.654639999999999,14.07591,1429700,20951738.808,-888610.6768619977,-0.04236989407147108,4,EDGE_ATR_STOP,32.86,breakout_after_accumulation_v3,True,100.0,1.0,32.86,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
SHB,EDGE_BREAKOUT,2025-03-18,2025-03-19,2025-04-01,9.679669999999998,10.45953,2178600,21088129.061999995,1632340.6028220095,0.07732833425548204,9,EDGE_TRAILING_ATR_STOP,33.325,breakout_after_accumulation_v3,True,100.0,1.0,33.325,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
HAG,EDGE_BREAKOUT,2025-02-10,2025-02-11,2025-04-03,12.462449999999999,11.838149999999999,1692100,21087711.645,-1117528.408874996,-0.05294135350825631,37,EDGE_ATR_STOP,33.0667,breakout_after_accumulation_v3,True,100.0,1.0,33.0667,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
VSC,EDGE_BREAKOUT,2025-05-05,2025-05-06,2025-05-14,18.968949999999996,18.511470000000003,1084900,20579413.854999997,-557065.6534609906,-0.027042030848777744,6,EDGE_STOP_LOSS,32.825,breakout_after_accumulation_v3,True,100.0,2.0,32.825,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
KDC,EDGE_COMPRESSION,2025-05-05,2025-05-06,2025-05-26,55.52546999999999,53.856089999999995,370600,20577739.181999996,-679168.1010899991,-0.0329720192037431,14,EDGE_ATR_STOP,28.05,compression_breakout_smt_v1,True,85.029,2.0,28.05,"{'portfolio_priority': 25, 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=85.029"
GEX,EDGE_BREAKOUT,2025-05-05,2025-05-06,2025-05-29,18.63862,24.21576,1104100,20578900.342,6083668.132426001,0.29533116157233186,17,EDGE_TAKE_PROFIT,33.325,breakout_after_accumulation_v3,True,100.0,1.0,33.325,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
PAN,EDGE_BREAKOUT,2025-06-02,2025-06-03,2025-06-09,27.96794,26.673299999999998,778900,21784228.466,-1071730.9912059978,-0.0491484163667384,4,EDGE_STOP_LOSS,34.1,breakout_after_accumulation_v3,True,100.0,1.0,34.1,"{'portfolio_priority': 30, 'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=100.0"
DXS,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-06-09,7.217209999999999,8.98101,3018700,21786591.826999996,5248374.518399004,0.24065863209105567,4,EDGE_TAKE_PROFIT,2.975,linreg_momentum_refined_v1,True,86.9701,1.0,2.975,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=86.9701"
POW,EDGE_COMPRESSION,2025-05-05,2025-05-06,2025-06-11,10.23022,10.82916,2011600,20579110.551999997,1140680.7169360071,0.0553736845370851,26,EDGE_TRAILING_ATR_STOP,28.7,compression_breakout_smt_v1,True,88.3591,1.0,28.7,"{'portfolio_priority': 25, 'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1 | edge_score=88.3591"
