symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DPM,2,1.0,0.2088734587190461,10121993.566980004,inf
DGW,2,0.5,0.08649555029816669,7380377.319020007,7.19870671845328
GEX,1,1.0,0.29533116157233186,6083668.132426001,inf
DXS,1,1.0,0.24065863209105567,5248374.518399004,inf
ANV,1,1.0,0.2129346999604613,4938870.054547004,inf
PLX,3,0.6666666666666666,0.05625250975845155,4395933.337135013,9.104492436266286
PVD,2,0.5,0.0747772850751447,4269014.092300005,3.1699736082074534
MBB,2,1.0,0.09505101030800954,4145247.7993790135,inf
LPB,1,1.0,0.11880342926761311,3358624.764360003,inf
HDG,2,1.0,0.05435845407323854,2775557.237845011,inf
TPB,2,0.5,0.04518207556367548,2680623.831536006,3.8448389050414176
PC1,1,1.0,0.10405328253233813,2563947.5514300093,inf
BCM,1,1.0,0.10216354414812744,2530429.3279150017,inf
VPB,2,0.5,0.04594953261681288,2018466.12027001,2.039023697298734
SIP,2,0.5,0.03547396395290626,1921621.000118006,2.3378431547303027
MSN,3,0.6666666666666666,0.025177658962219445,1635942.30620002,1.8686296622791025
BID,1,1.0,0.06053855535984368,1570419.3989100046,inf
PVT,2,0.5,0.032564909420631116,1552553.429660011,2.339893494841242
HSG,1,1.0,0.047523557178398776,1252784.2536160052,inf
SBT,1,1.0,0.0489869212801078,1213361.411535006,inf
POW,1,1.0,0.0553736845370851,1140680.7169360071,inf
CTS,1,1.0,0.0437003535849484,1127757.1456250027,inf
DSE,2,0.5,0.01741716709337059,922495.7714110203,1.7077231375403128
PNJ,1,1.0,0.03210836432594559,873979.1709450036,inf
CTD,2,0.5,0.037008909765717406,627228.9161859974,1.2734955361701714
SHB,2,0.5,0.014602343834393565,421045.43706601113,1.3475993704665918
TCB,1,1.0,0.011179911497094507,285792.63114000484,inf
VIB,1,0.0,-0.014684617298811764,-283377.21430999786,0.0
REE,1,0.0,-0.012274662250209437,-314410.4709199928,0.0
SSB,1,0.0,-0.012807231137572974,-362078.7149699889,0.0
FRT,1,0.0,-0.017584092711496954,-442353.1294,0.0
HCM,1,0.0,-0.021497526507454782,-628149.1612499915,0.0
KDC,1,0.0,-0.0329720192037431,-679168.1010899991,0.0
STB,1,0.0,-0.03483934646771794,-743562.9779999964,0.0
NAB,1,0.0,-0.035140864947421836,-884566.3307849951,0.0
DXG,1,0.0,-0.04236989407147108,-888610.6768619977,0.0
VHM,1,0.0,-0.03806155677361365,-988313.4083699919,0.0
KBC,1,0.0,-0.04644780793631919,-1012920.3295199946,0.0
SSI,1,0.0,-0.03511401557255948,-1048805.0680799931,0.0
BVH,1,0.0,-0.031140744941337214,-1050103.9551599957,0.0
PAN,1,0.0,-0.0491484163667384,-1071730.9912059978,0.0
NVL,1,0.0,-0.044789456297947644,-1103436.3300749958,0.0
GMD,1,0.0,-0.04445120893827976,-1128573.611499995,0.0
CTR,1,0.0,-0.04500774024303495,-1167313.2780399956,0.0
DBC,1,0.0,-0.059416279014346846,-1189421.032189995,0.0
VGC,2,0.5,-0.011316976090308857,-1264050.080441989,0.6249344079886726
VIC,1,0.0,-0.05324840525443731,-1379500.3728699982,0.0
FPT,1,0.0,-0.055334558896314494,-1424157.0134899989,0.0
DCM,1,0.0,-0.06220214850084954,-1698774.2184399925,0.0
VHC,2,0.0,-0.0488107948054034,-2058598.22208599,0.0
HAG,2,0.0,-0.05139911987313387,-2425431.7192399874,0.0
BSI,1,0.0,-0.10449011527932578,-2864423.5331199914,0.0
NLG,2,0.0,-0.06275360779452056,-3457872.9195499867,0.0
VSC,2,0.0,-0.07928211820916146,-4254928.535305981,0.0
