symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
GMD,SPRING,2025-01-02,2025-01-03,2025-01-07,64.13406999999998,61.87806,311800,19997003.025999993,-762008.079241991,-0.03806804606769387,2,EDGE_ATR_STOP,3.6,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,69.6145,1.0,3.6,"{'setup_type': 'SPRING', 'stop_loss': 0.07, 'take_profit': 0.2, 'max_holding_bars': 28, 'initial_atr_stop_mult': 2.1, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=69.6145"
PNJ,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,317500,19993898.924999997,-362584.6031249985,-0.018116645587886723,2,EDGE_ATR_STOP,3.1353,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,56.6301,1.0,3.1353,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=56.6301"
PAN,NR7,2025-01-02,2025-01-03,2025-01-21,23.423399999999997,25.00497,853800,19998898.919999998,1287647.0803080015,0.0643215771395285,12,EDGE_TRAILING_ATR_STOP,3.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,65.703,1.0,3.5,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=65.703"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=100.0"
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,379100,21455748.313999996,1518092.7345740087,0.070683908863063,8,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=68.9144"
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1733000,20036166.15,781119.5438100062,0.03894653292268696,29,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=84.2398"
CTG,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-20,26.176149999999996,28.48149,765400,20035225.209999997,1700872.545898009,0.08480929736079988,34,EDGE_TRAILING_ATR_STOP,3.0125,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,91.8764,1.0,3.0125,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=91.8764"
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,844500,22215653.459999997,992033.2210500091,0.04461008453591256,23,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=91.7683"
SSB,EDGE_COMPRESSION,2025-03-13,2025-03-14,2025-04-03,19.819799999999997,19.4805,1085600,21516374.879999995,-432156.5164799914,-0.0200649409622251,14,EDGE_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,77.1832,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=77.1832"
STB,ADX_TREND,2025-01-23,2025-01-24,2025-04-04,37.33729999999999,34.0659,536600,20035195.179999996,-1812027.9590599947,-0.09035188951519246,45,EDGE_STOP_LOSS,3.09,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,73.8678,1.0,3.09,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=73.8678"
