symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
PVD,1,1.0,0.22182488417339064,11043390.901295006,inf
VHM,2,1.0,0.16623162885442722,10373977.90510001,inf
VPB,2,0.5,0.13491806801815281,8219106.902805015,4.3547981829973805
GEX,1,1.0,0.2953311615723319,6467720.001668002,inf
SHB,3,0.6666666666666666,0.047794187327707384,6385787.277171027,5.604748219273092
DGW,2,0.5,0.08853473748874999,5953296.756560005,6.384778876786723
PLX,2,1.0,0.09692505616416183,5646060.570785012,inf
MBB,2,1.0,0.09505101030800955,4451395.227644015,inf
LPB,1,1.0,0.11880342926761338,4426609.628280014,inf
GMD,2,1.0,0.06828622306482972,4002602.1042700075,inf
MSN,1,1.0,0.11533789259784195,3980532.1733999997,inf
SIP,1,1.0,0.12570419445330885,3748507.978520002,inf
MSB,1,1.0,0.14608106666844575,3708659.564686004,inf
PVT,1,1.0,0.11002569342616422,3088777.959270008,inf
BCM,1,1.0,0.1021635441481277,2939996.935570009,inf
PC1,1,1.0,0.10405328253233798,2921059.8473100066,inf
STB,1,1.0,0.12189157817355135,2459484.973050002,inf
VGC,1,1.0,0.10522211468429184,2106160.643670004,inf
DSE,2,0.5,0.0360305265687525,2071082.3679400124,7.322773052590313
TCB,1,1.0,0.09810622746166317,1868592.4446300045,inf
HDG,1,1.0,0.0668770033902298,1850848.2139420062,inf
BID,1,1.0,0.0605385553598438,1788948.9759600088,inf
PNJ,1,1.0,0.0321083643259454,1479239.6146719977,inf
REE,2,0.5,0.029204623306426803,1133783.925846018,4.164521059539346
CTS,1,1.0,0.04370035358494839,1087274.4506250024,inf
VCI,2,1.0,0.024606656426567734,1075811.8128960095,inf
PAN,3,0.3333333333333333,0.009681763790117075,768296.2916180082,1.392976456199697
POW,2,0.5,0.01619259623459607,677922.4636240117,2.2676807987007668
DPM,1,1.0,0.03923369337954778,676330.4303370044,inf
VRE,1,1.0,0.028740168888156756,632000.4641100056,inf
CTD,2,0.5,0.037008909765717454,434438.4184160009,1.1747420764195844
VIC,3,0.3333333333333333,-0.0003802103622792356,342911.6004850231,1.163833001238527
TPB,2,0.5,0.023930467376287252,327166.4827010054,1.3472087084595026
HHV,3,0.6666666666666666,-0.003123990932216511,-159552.027845975,0.8975805133338808
SSB,1,0.0,-0.02006494096222525,-432594.4053599946,0.0
GAS,1,0.0,-0.03517005357082018,-627084.3310379982,0.0
KDC,1,0.0,-0.03297201920374297,-722051.3540999964,0.0
HCM,1,0.0,-0.02149752650745474,-772163.846999988,0.0
VJC,1,0.0,-0.03319809123798937,-980904.1839999966,0.0
NAB,1,0.0,-0.03514086494742183,-1012673.4130349942,0.0
VIB,1,0.0,-0.04829466651975928,-1164341.2334399968,0.0
DBC,1,0.0,-0.059416279014346846,-1189421.032189995,0.0
KDH,1,0.0,-0.05047523334379309,-1508891.3736799918,0.0
NKG,1,0.0,-0.062393496766815486,-1545438.512519993,0.0
HPG,1,0.0,-0.048938265343767946,-1692468.434319999,0.0
FTS,1,0.0,-0.06763246100336509,-2021746.4030399919,0.0
TCH,1,0.0,-0.07001944228428865,-2183052.88265799,0.0
VCG,1,0.0,-0.06544876043462561,-2350829.786899999,0.0
HAG,2,0.0,-0.04375895282133026,-2506191.9569949955,0.0
BSI,1,0.0,-0.1044901152793258,-3086678.994879991,0.0
NLG,2,0.0,-0.06275360779452058,-4349561.233199984,0.0
