symbol,trades,win_rate,avg_pnl_pct,total_pnl,profit_factor
DGW,2,1.0,0.09969982270693756,2985908.759864887,inf
EVF,2,1.0,0.10993803467022337,2551418.8049600013,inf
VCG,1,1.0,0.1740491035687997,2233484.4795900006,inf
GMD,2,1.0,0.060692784060947025,1528478.1815805584,inf
MSB,1,1.0,0.08277288639824529,1358063.1875915304,inf
PVD,1,1.0,0.105338168790505,1255814.4470494296,inf
DPM,3,0.6666666666666666,0.036764094530990644,1104840.886599727,2.7790350025319706
DCM,1,1.0,0.07161314979030804,901672.1673088111,inf
BSR,2,0.5,0.030597194689766676,761435.1660775058,2.7996324523099125
TCB,2,0.5,0.022315292318162296,711971.2207319792,2.2673024613346775
NKG,1,1.0,0.050980876571328174,665274.511655001,inf
BID,1,1.0,0.03053173591075381,397792.50535000116,inf
HHV,1,1.0,0.03398889494069234,340262.7931943983,inf
HSG,1,1.0,0.03393389179800642,339718.95375000313,inf
GVR,2,0.5,0.006380191375406907,275547.1717790384,1.3764549257188976
VPI,2,0.5,0.004096858113843117,147321.80765976757,1.2890084132129318
VRE,2,0.5,0.009153777956176848,102474.70958363265,1.096883804096585
MBB,1,0.0,-0.009178742505995123,-49996.61941999942,0.0
POW,2,0.5,-0.004997835809309757,-64569.58038749546,0.9370754711365373
SSB,1,0.0,-0.00986965223873291,-120646.72416249663,0.0
HDB,1,0.0,-0.008930735794576365,-128762.02312499657,0.0
SAB,1,0.0,-0.0486487695777787,-242444.3850499997,0.0
PC1,2,0.5,0.001996554408016986,-244357.225662997,0.7712838666434056
ACB,1,0.0,-0.02828634901622788,-283145.71628999896,0.0
VSC,1,0.0,-0.05783169651235584,-288274.1404199982,0.0
DXG,1,0.0,-0.028286349016227782,-464121.80039749667,0.0
LPB,1,0.0,-0.051422388325365234,-514789.47799999826,0.0
VJC,1,0.0,-0.05111500737537356,-575828.3629349992,0.0
MWG,1,0.0,-0.05317901353217012,-597915.341099998,0.0
BVH,1,0.0,-0.052641639754252734,-627554.7296999954,0.0
ANV,1,0.0,-0.05971415066517839,-696982.8247499969,0.0
VIC,1,0.0,-0.05925410572690607,-721457.975809997,0.0
FPT,1,0.0,-0.055619634394721784,-724365.2320199944,0.0
DIG,2,0.0,-0.029360800350305458,-766102.5807199962,0.0
TPB,1,0.0,-0.05932720175598709,-774205.2587999962,0.0
HDG,1,0.0,-0.06353337923456896,-846649.9923699964,0.0
DBC,1,0.0,-0.06624391350778143,-990309.2794199977,0.0
SHB,2,0.0,-0.042083129861737234,-1094282.6398829948,0.0
HPG,3,0.3333333333333333,-0.02197889221073884,-1103853.4094549892,0.06774026330484931
HCM,1,0.0,-0.05799148535912325,-1160906.1943849996,0.0
VCB,2,0.0,-0.056687292365005894,-1339323.6871949956,0.0
STB,2,0.0,-0.05641996498335741,-1565059.112959994,0.0
NT2,2,0.0,-0.06412701482106209,-1591192.165742496,0.0
DGC,2,0.0,-0.05808763571195917,-1758647.1228499878,0.0
EIB,2,0.0,-0.05049888522218897,-1781383.3647399936,0.0
SSI,2,0.0,-0.10391817955881488,-2206861.5559399957,0.0
