symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
PNJ,ADX_TREND,2025-01-02,2025-01-03,2025-01-07,62.97290999999999,62.01792,317500,19993898.924999997,-362584.6031249985,-0.018116645587886723,2,EDGE_ATR_STOP,3.1353,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,56.6301,1.0,3.1353,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=56.6301"
PAN,NR7,2025-01-02,2025-01-03,2025-01-21,23.423399999999997,25.00497,853800,19998898.919999998,1287647.0803080015,0.0643215771395285,12,EDGE_TRAILING_ATR_STOP,3.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,65.703,1.0,3.5,"{'setup_type': 'NR7', 'stop_loss': 0.065, 'take_profit': 0.2, 'max_holding_bars': 25, 'initial_atr_stop_mult': 1.9, 'trailing_atr_mult': 2.4, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=65.703"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=100.0"
SCS,ADX_TREND,2025-01-02,2025-01-03,2025-02-17,73.85377999999999,70.4295,270800,19999603.623999998,-985439.2448239923,-0.04922371505666189,26,EDGE_ATR_STOP,3.0471,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,61.8434,2.0,3.0471,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=61.8434"
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,381600,21597239.663999997,1528103.8974240087,0.070683908863063,8,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=68.9144"
OCB,EDGE_COMPRESSION,2025-02-17,2025-02-18,2025-03-04,10.120109999999999,9.83016,2006400,20304988.703999996,-641507.1347519904,-0.031562010588917944,10,EDGE_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,94.2542,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=94.2542"
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1755500,20296301.025,791261.0266350023,0.03894653292268676,29,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=84.2398"
VRE,EDGE_COMPRESSION,2025-03-04,2025-03-05,2025-03-13,17.717699999999997,18.2817,1167700,20688958.289999995,595198.7595300041,0.0287401688881567,6,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,97.8482,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=97.8482"
HSG,ADX_TREND,2025-03-17,2025-03-18,2025-03-20,14.234219999999999,13.19679,1106800,15754434.695999999,-1193194.3730399963,-0.075661386375988,2,EDGE_ATR_STOP,3.1706,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,60.6232,1.0,3.1706,"{'setup_type': 'ADX_TREND', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.4, 'trailing_atr_mult': 2.9, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=60.6232"
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,825500,21715834.139999997,969713.9419500008,0.04461008453591218,23,EDGE_TRAILING_ATR_STOP,4.5,"breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1",True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,linreg_momentum_refined_v1,adx_trend_refined_v1,nr7_refined_v1,spring_refined_v1,inside_bar_refined_v1,retest_refined_v1 | edge_score=91.7683"
